Name,Phone Number,Opening Hours,Does it also have a gym?,Do they also have a sauna?,Ice bath contrast therapy?,Average Reviews (Number of Ratings),Prices,Website,Official Social Account
Deep Chillz,055-725-9548,"Varies, check booking",No,No,Not specified,Not available,"First time: 85 NIS, Regular: 70 NIS, 10 sessions card: 500 NIS, Monthly subscription: 300 NIS",https://icebathtelaviv.co.il,https://www.instagram.com/icebathtlv/
Ice Guru,058-666-9023,"Sun-Thu: 9-10 AM & 5-6 PM, Fri: 11 AM-1 PM, Sat: 6-7 PM",No,Not specified,Not specified,Not available,"First time: 70 NIS, Second/third time: 50 NIS, 4 entries card: 160 NIS, 10 entries card: 300 NIS",https://www.ice-guru.com,@icegurutelaviv (Instagram)
Fire & Ice TLV,050-271-9553,"Mon: 8 AM-11:30 AM & 4 PM-6:30 PM, Tue-Wed: 8 AM-11:30 AM & 4 PM-6:30 PM, Fri-Sat: 9 AM-2:30 PM, Sun: 8 AM-11:30 AM & 4 PM-6:30 PM",No,Yes,Yes,Not available,Not specified,https://fniclub.com/,Not specified
Ice Healing Center,052-248-7621,Mon-Sun: 7 AM - 10 PM,No,Not specified,Not specified,Not available,Monthly subscription with unlimited access,https://www.icehealingcenter.co.il/,Not specified
Ice Therapy,Not specified,Not specified,No,Not specified,Not specified,Not available,Not specified,https://icetherapy.co.il,Not specified
Mirage TLV Spa,Not specified,Not specified,No,Yes,Yes,Not available,Not specified,https://miragetlv.com/cold-plunge/,Not specified
יוגה וקרח בפלורנטין (Yoga & Ice in Florentin),Not specified,Not specified,No,Not specified,Not specified,Not available,Not specified,https://www.instagram.com/yoga_and_ice_florentin/?locale=en_gb&hl=en,Not specified
ז'ניה (Zhenia),Not specified,"Dojo Azrieli Sarona, 2nd floor",No,Not specified,Not specified,Not available,Not specified,https://www.facebook.com/Zhenia.Cool/,Not specified
Holmes Place Azrieli,073-231-5541,"Sun-Thu: 6 AM - 11 PM, Spa: 9 AM - 9 PM",Yes,Yes (Wet & dry sauna),Not specified,Not available,Not specified,https://www.spaplus.co.il/en/holmes_place_azrieli_tel_aviv_spa,https://www.instagram.com/holmesplaceazrieli/?hl=en
חמי געש (Ga'ash Baths),Not specified,Not specified,No,Yes (Dry & wet sauna),Not specified,Not available,Not specified,https://hameigaash.co.il/home/,Not specified
