Name,Phone Number,Opening Hours,Does it also have a gym?,Do they also have a sauna?,Ice bath contrast therapy?,Average Reviews (Number of Ratings),Prices,Website,Official Social Account
IcePass LA,Not listed,Mon-Sun: 5:30 AM - 8 PM,Yes,Yes,Yes,5.0 (14),Unlimited access: $99/month,https://icepassla.com/,@icepassla (Instagram)
Renew Performance Center,(626) 440-5000,"Mon-Fri: 8 AM - 8 PM, Sat-Sun: 10 AM - 3 PM",Yes,Yes,Yes,5.0 (11),Cold Plunge: $35/15 min,https://renewperformancecenter.com/,@renewperformancecenter (Instagram)
Respirospace,(818) 975-3333,"Mon-Fri: 9 AM - 7 PM, Sat-Sun: 10 AM - 5 PM",No,Yes,Yes,5.0 (10),Cold Plunge: $35/15 min,https://respirospace.com/,@respirospace (Facebook)
Biohack Cryo & Wellness,(818) 348-7000,"Mon-Fri: 7 AM - 8 PM, Sat-Sun: 8 AM - 6 PM",No,Yes,Yes,5.0 (36),Cold Plunge: $35/15 min,https://www.biohackcryowellness.com/,@biohackcryowellness (Facebook)
RVIVL,(310) 437-0104,"Mon-Fri: 8 AM - 10 PM, Sat-Sun: 8:30 AM - 9 PM",No,Yes,Yes,4.5 (42),Cold Plunge: $35/15 min,https://rvivl.co/,@rvivl (Instagram)
Pause Studio Brentwood,(424) 372-9009,"Mon-Fri: 8 AM - 9 PM, Sat: 9 AM - 8 PM, Sun: 10 AM - 6 PM",No,Yes,Yes,4.8 (50),Cold Plunge: $35/15 min,https://pausestudio.com/,@pausestudio (Instagram)
DEUCE Gym,(424) 361-1994,"Mon-Fri: 6:30 AM - 7:30 PM, Sat: 9 AM - 12:30 PM, Sun: 10 AM - 11 AM",Yes,Yes,Yes,5.0 (33),"Varies, contact for details",https://www.deucegym.com/,@deucegym (Instagram)
Remedy Place,(323) 549-8305,Mon-Sun: 8 AM - 10 PM,No,Yes,Yes,5.0 (16),Ice Bath Class: $50/session,https://www.remedyplace.com/,@remedyplace (Instagram)
Space B.A.R. Wellness Center,(626) 239-0000,"Mon-Fri: 8 AM - 8 PM, Sat-Sun: 9 AM - 6 PM",No,Yes,Yes,5.0 (35),Cold Plunge: $35/15 min,https://spacebarwellness.com/,@spacebarwellness (Instagram)
Pause Studio West Hollywood,(323) 487-7737,"Mon-Fri: 8 AM - 9 PM, Sat: 9 AM - 8 PM, Sun: 10 AM - 6 PM",No,Yes,Yes,4.7 (60),Cold Plunge: $35/15 min,https://pausestudio.com/,@pausestudio (Instagram)
Be Spa,(424) 425-9898,Mon-Sun: 9 AM - 8 PM,No,Yes,Yes,4.9 (20),Cold Plunge: $40/15 min,https://www.bespaclub.com/,@bespaclub (Instagram)
IntomeSea,(310) 829-7999,Mon-Sun: 10 AM - 8 PM,No,Yes,Yes,4.8 (25),Cold Plunge: $25/15 min,https://www.intomesea.com/,@intomesea (Instagram)
Next Health Century City,(310) 295-2075,"Mon-Fri: 9 AM - 6 PM, Sat: 9 AM - 4 PM, Sun: Closed",No,Yes,Yes,4.6 (45),Cold Plunge: $30/15 min,https://www.next-health.com/,@next_health (Instagram)
Voda Spa,(323) 654-3636,Mon-Sun: 10 AM - 10 PM,No,Yes,Yes,4.4 (200),Cold Plunge: $35/day pass,https://www.vodaspa.com/,@vodaspala (Instagram)
Athlete Within,(213) 266-8424,"Mon-Fri: 6 AM - 8 PM, Sat: 8 AM - 2 PM, Sun: Closed",Yes,Yes,Yes,5.0 (10),"Membership only, $200+/month",https://athletewithinla.com/,@athletewithinla (Instagram)
Immunity Center,(818) 847-7272,"Mon-Fri: 9 AM - 7 PM, Sat-Sun: 10 AM - 5 PM",No,Yes,Yes,4.9 (15),Cold Plunge: $30/15 min,https://www.immunitycenterla.com/,@immunitycenterla (Instagram)
City Spa LA,(213) 387-7828,Mon-Sun: 10 AM - 10 PM,No,Yes,Yes,4.3 (150),Cold Plunge: $35/day pass,https://www.cityspala.com/,@cityspala (Instagram)
The Spa at La Costa,(800) 854-5000,Mon-Sun: 9 AM - 6 PM,Yes,Yes,Yes,4.5 (80),Cold Plunge: $60/day pass,https://www.lacosta.com/spa,@lacostaresort (Instagram)
Spa Montage Laguna Beach,(949) 715-6000,Mon-Sun: 9 AM - 7 PM,Yes,Yes,Yes,4.7 (90),Cold Plunge: Included w/ treatment,https://www.montagehotels.com/lagunabeach/spa,@montagelaguna (Instagram)
